,FTSEMIB payout,HSCEI payout,NDX payout,Triggered,Above Strike Lvl,, FTSEMIB payout (USD)  , HSCEI payout (USD) , NDX payout (USD) ,, AveragePayout Sum (USD) ,, Average Payout 
43,12262.3243,5727.007627,4572.621042,0,0,," $ 13,671.90 ", $ 736.49 ," $ 4,572.62 ",," $ 18,981.01 ",,
44,15071.99385,7039.238368,5620.346886,0,0,," $ 16,804.54 ", $ 905.25 ," $ 5,620.35 ",," $ 23,330.14 ",,
45,13860.44972,6473.397643,5168.562049,0,0,," $ 15,453.73 ", $ 832.48 ," $ 5,168.56 ",," $ 21,454.77 ",,
46,10047.27525,4692.489008,3746.629195,0,0,," $ 11,202.22 ", $ 603.45 ," $ 3,746.63 ",," $ 15,552.31 ",,
47,14514.81946,6779.015112,5412.576543,0,0,," $ 16,183.32 ", $ 871.78 ," $ 5,412.58 ",," $ 22,467.68 ",,
48,15309.18569,7150.016674,5708.795731,0,0,," $ 17,069.00 ", $ 919.49 ," $ 5,708.80 ",," $ 23,697.29 ",,
49,12045.37228,5625.682149,4491.719628,0,0,," $ 13,430.01 ", $ 723.46 ," $ 4,491.72 ",," $ 18,645.19 ",,
50,14280.17249,6669.425364,5325.07668,0,0,," $ 15,921.70 ", $ 857.69 ," $ 5,325.08 ",," $ 22,104.46 ",,
51,11557.37361,5397.766783,4309.74491,0,0,," $ 12,885.91 ", $ 694.15 ," $ 4,309.74 ",," $ 17,889.81 ",,
52,10538.62501,4921.969467,3929.853532,0,0,," $ 11,750.06 ", $ 632.97 ," $ 3,929.85 ",," $ 16,312.87 ",,
53,12141.6916,5670.667213,4527.637103,0,0,," $ 13,537.40 ", $ 729.25 ," $ 4,527.64 ",," $ 18,794.28 ",,
54,8850.8125,4133.691903,3300.468204,0,0,," $ 9,868.23 ", $ 531.59 ," $ 3,300.47 ",," $ 13,700.29 ",,
55,19398.1422,9059.726819,7233.567717,0,0,," $ 21,627.99 "," $ 1,165.08 "," $ 7,233.57 ",," $ 30,026.64 ",,
56,9760.944746,4558.760935,3639.856542,0,0,," $ 10,882.98 ", $ 586.26 ," $ 3,639.86 ",," $ 15,109.09 ",,
57,8946.385143,4178.328242,3336.107245,0,0,," $ 9,974.79 ", $ 537.33 ," $ 3,336.11 ",," $ 13,848.23 ",,
58,10253.41643,4788.765379,3823.499245,0,0,," $ 11,432.06 ", $ 615.84 ," $ 3,823.50 ",," $ 15,871.40 ",,
59,8720.39275,4072.780539,3251.834676,0,0,," $ 9,722.81 ", $ 523.76 ," $ 3,251.83 ",," $ 13,498.41 ",,
60,20024.07469,9352.062924,7466.977958,0,0,," $ 22,325.87 "," $ 1,202.68 "," $ 7,466.98 ",," $ 30,995.53 ",,
61,8805.375236,4112.47084,3283.524647,0,0,," $ 9,817.57 ", $ 528.86 ," $ 3,283.52 ",," $ 13,629.95 ",,
62,21308.65471,9952.014401,7945.997879,0,0,," $ 23,758.12 "," $ 1,279.83 "," $ 7,946.00 ",," $ 32,983.94 ",,
63,9280.297176,4334.278836,3460.623051,0,0,," $ 10,347.08 ", $ 557.39 ," $ 3,460.62 ",," $ 14,365.09 ",,
64,9295.449075,4341.355393,3466.273194,0,0,," $ 10,363.97 ", $ 558.30 ," $ 3,466.27 ",," $ 14,388.55 ",,
65,17272.79685,8067.103498,6441.02638,0,0,," $ 19,258.33 "," $ 1,037.43 "," $ 6,441.03 ",," $ 26,736.79 ",,
66,17572.81182,8207.222776,6552.90197,0,0,," $ 19,592.83 "," $ 1,055.45 "," $ 6,552.90 ",," $ 27,201.18 ",,
67,7577.754801,3539.121823,2825.744956,0,0,," $ 8,448.83 ", $ 455.13 ," $ 2,825.74 ",," $ 11,729.71 ",,
68,12547.10911,5860.013795,4678.817304,0,0,," $ 13,989.42 ", $ 753.60 ," $ 4,678.82 ",," $ 19,421.83 ",,
69,36032.27454,16828.54783,13436.43608,0,0,," $ 40,174.24 "," $ 2,164.15 "," $ 13,436.44 ",," $ 55,774.83 ",,
70,9008.03311,4207.120367,3359.095774,0,0,," $ 10,043.52 ", $ 541.04 ," $ 3,359.10 ",," $ 13,943.65 ",,
71,8998.382082,4202.612942,3355.496905,0,0,," $ 10,032.76 ", $ 540.46 ," $ 3,355.50 ",," $ 13,928.71 ",,
72,15869.80635,7411.849477,5917.851186,0,0,," $ 17,694.06 ", $ 953.16 ," $ 5,917.85 ",," $ 24,565.08 ",,
73,12596.15034,5882.918056,4697.104779,0,0,," $ 14,044.10 ", $ 756.54 ," $ 4,697.10 ",," $ 19,497.74 ",,
74,11113.95412,5190.671721,4144.393771,0,0,," $ 12,391.52 ", $ 667.52 ," $ 4,144.39 ",," $ 17,203.43 ",,
75,10482.75042,4895.873746,3909.017897,0,0,," $ 11,687.76 ", $ 629.61 ," $ 3,909.02 ",," $ 16,226.39 ",,
76,6822.051378,3186.177376,2543.943131,0,0,," $ 7,606.26 ", $ 409.74 ," $ 2,543.94 ",," $ 10,559.94 ",,
77,21139.7299,9873.119598,7883.005814,0,0,," $ 23,569.77 "," $ 1,269.68 "," $ 7,883.01 ",," $ 32,722.46 ",,
78,8563.687136,3999.5926,3193.399149,0,0,," $ 9,548.10 ", $ 514.35 ," $ 3,193.40 ",," $ 13,255.84 ",,
79,11016.74598,5145.271539,4108.144853,0,0,," $ 12,283.14 ", $ 661.68 ," $ 4,108.14 ",," $ 17,052.96 ",,
80,14562.97816,6801.507197,5430.534923,0,0,," $ 16,237.01 ", $ 874.67 ," $ 5,430.53 ",," $ 22,542.22 ",,
81,15702.13211,7333.538742,5855.325459,0,0,," $ 17,507.12 ", $ 943.09 ," $ 5,855.33 ",," $ 24,305.53 ",,
82,9422.980361,4400.917726,3513.829614,0,0,," $ 10,506.17 ", $ 565.96 ," $ 3,513.83 ",," $ 14,585.95 ",,
83,8085.548351,3776.282206,3015.101184,0,0,," $ 9,014.99 ", $ 485.63 ," $ 3,015.10 ",," $ 12,515.73 ",,
84,15852.39302,7403.716743,5911.357758,0,0,," $ 17,674.65 ", $ 952.12 ," $ 5,911.36 ",," $ 24,538.13 ",,
85,8953.802944,4181.792659,3338.873344,0,0,," $ 9,983.06 ", $ 537.78 ," $ 3,338.87 ",," $ 13,859.71 ",,
86,34674.56838,16194.44345,12930.14742,0,0,," $ 38,660.46 "," $ 2,082.61 "," $ 12,930.15 ",," $ 53,673.21 ",,
87,3792.854,1771.418146,1414.355352,0,0,," $ 4,228.85 ", $ 227.80 ," $ 1,414.36 ",," $ 5,871.01 ",,
88,11726.59648,5476.800792,4372.848121,0,0,," $ 13,074.59 ", $ 704.32 ," $ 4,372.85 ",," $ 18,151.75 ",,
89,10358.92415,4838.041808,3862.843078,0,0,," $ 11,549.70 ", $ 622.17 ," $ 3,862.84 ",," $ 16,034.71 ",,
90,10295.8649,4808.590552,3839.32828,0,0,," $ 11,479.39 ", $ 618.38 ," $ 3,839.33 ",," $ 15,937.10 ",,
91,8051.640105,3760.445667,3002.456798,0,0,," $ 8,977.19 ", $ 483.59 ," $ 3,002.46 ",," $ 12,463.24 ",,
92,10862.73611,5073.342621,4050.714567,0,0,," $ 12,111.42 ", $ 652.43 ," $ 4,050.71 ",," $ 16,814.57 ",,
93,9084.997764,4243.066012,3387.795895,0,0,," $ 10,129.33 ", $ 545.66 ," $ 3,387.80 ",," $ 14,062.79 ",,
94,32739.08792,15290.49482,12208.40671,0,0,," $ 36,502.50 "," $ 1,966.36 "," $ 12,208.41 ",," $ 50,677.26 ",,
95,10162.89352,4746.487473,3789.74325,0,0,," $ 11,331.13 ", $ 610.40 ," $ 3,789.74 ",," $ 15,731.27 ",,
96,7437.674795,3473.698723,2773.509119,0,0,," $ 8,292.65 ", $ 446.72 ," $ 2,773.51 ",," $ 11,512.87 ",,
97,9953.093852,4648.502436,3711.508948,0,0,," $ 11,097.22 ", $ 597.80 ," $ 3,711.51 ",," $ 15,406.52 ",,
98,6929.426049,3236.325744,2583.983148,0,0,," $ 7,725.97 ", $ 416.19 ," $ 2,583.98 ",," $ 10,726.15 ",,
99,8905.727611,4159.339509,3320.946051,0,0,," $ 9,929.45 ", $ 534.89 ," $ 3,320.95 ",," $ 13,785.29 ",,
100,9972.959399,4657.78046,3718.916811,0,0,," $ 11,119.37 ", $ 598.99 ," $ 3,718.92 ",," $ 15,437.27 ",,
101,17471.67478,8159.987637,6515.187966,0,0,," $ 19,480.07 "," $ 1,049.37 "," $ 6,515.19 ",," $ 27,044.63 ",,
102,8691.792504,4059.423053,3241.169644,0,0,," $ 9,690.93 ", $ 522.04 ," $ 3,241.17 ",," $ 13,454.14 ",,
